GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Roaming,default,Barricade,13,211,3,13,3,55,4,13,1,8
Roaming,default,BuggyRoamingMap.BugType,0,45,0,0,0,8,0,1,0,1
Roaming,default,MatrixMap,0,205,0,14,0,43,0,21,0,14
Roaming,default,MatrixMap.InvalidLengthException,0,28,0,2,0,9,0,5,0,4
Roaming,default,MatrixMap.InvalidLengthException.Cause,0,15,0,0,0,3,0,1,0,1
Roaming,default,Barricade.StateRecoveryOptional,0,15,0,0,0,1,0,3,0,3
